date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:46	136223/136223	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2006:52:46%20GMT	https://nuss.uxper.co/boutique-hotel/blog-standard/page/2/	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/blog-standard/page/2/index.html	(from https://nuss.uxper.co/boutique-hotel/blog-standard/)
12:22:47	115750/115750	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2006:52:47%20GMT	https://nuss.uxper.co/boutique-hotel/2021/06/	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/2021/06/index.html	(from https://nuss.uxper.co/boutique-hotel/blog-standard/)
12:22:48	37387/37387	---MCZ	200	added ('OK')	application/json	date:Mon,%2012%20Aug%202024%2006:52:48%20GMT	https://nuss.uxper.co/boutique-hotel/wp-json/wp/v2/pages/4269	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-json/wp/v2/pages/4269.json	(from https://nuss.uxper.co/boutique-hotel/blog-list/)
12:22:49	8552/8552	---MC-	200	added ('OK')	text/css	date:Mon,%2012%20Aug%202024%2006:52:48%20GMT	https://fonts.googleapis.com/css?family=Jost%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CCormorant+Garamond%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CCormorant%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=swap	/home/isha/Desktop/hostel/hostel/fonts.googleapis.com/cssb19c.css	(from https://nuss.uxper.co/boutique-hotel/about-us/)
12:22:49	45244/45244	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Jul%202021%2017:31:04%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/background_hero_2.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/background_hero_2.jpg	(from https://nuss.uxper.co/boutique-hotel/about-us/)
12:22:50	107786/107786	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2006:52:48%20GMT	https://nuss.uxper.co/boutique-hotel/2021/04/	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/2021/04/index.html	(from https://nuss.uxper.co/boutique-hotel/blog-standard/)
12:22:50	17048/17048	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2011:32:39%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/cache/autoptimize/2/css/autoptimize_single_c1d69e4899f3d371dd31d17b13653292.css	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/cache/autoptimize/2/css/autoptimize_single_c1d69e4899f3d371dd31d17b13653292.css	(from https://nuss.uxper.co/boutique-hotel/about-us/)
12:22:52	2139/2139	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2017:30:35%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/sig.png	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/sig.png	(from https://nuss.uxper.co/boutique-hotel/about-us/)
12:22:52	28040/28040	---MCZ	200	added ('OK')	application/json	date:Mon,%2012%20Aug%202024%2006:52:52%20GMT	https://nuss.uxper.co/boutique-hotel/wp-json/wp/v2/pages/2103	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-json/wp/v2/pages/2103.json	(from https://nuss.uxper.co/boutique-hotel/about-us/)
12:22:54	25134/25134	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Jul%202021%2017:51:43%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/about-1.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/about-1.jpg	(from https://nuss.uxper.co/boutique-hotel/about-us/)
12:22:55	188370/188370	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Jul%202021%2017:42:32%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Terraza04_ALTA_hor.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Terraza04_ALTA_hor.jpg	(from https://nuss.uxper.co/boutique-hotel/about-us/)
12:22:55	5790/5790	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Jul%202021%2017:51:16%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/staff-3.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/staff-3.jpg	(from https://nuss.uxper.co/boutique-hotel/about-us/)
12:22:56	10240/10240	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Jul%202021%2017:51:10%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/staff-2.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/staff-2.jpg	(from https://nuss.uxper.co/boutique-hotel/about-us/)
12:22:57	4980/4980	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Jul%202021%2017:51:05%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/staff-1.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/staff-1.jpg	(from https://nuss.uxper.co/boutique-hotel/about-us/)
12:22:58	7478/7478	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2017:51:21%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/logo-aw-1.png	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/logo-aw-1.png	(from https://nuss.uxper.co/boutique-hotel/about-us/)
12:22:59	4540/4540	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2017:51:26%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/logo-aw-2.png	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/logo-aw-2.png	(from https://nuss.uxper.co/boutique-hotel/about-us/)
12:23:00	3563/3563	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2017:51:30%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/logo-aw-3.png	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/logo-aw-3.png	(from https://nuss.uxper.co/boutique-hotel/about-us/)
12:23:01	6057/6057	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2017:51:34%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/logo-aw-4.png	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/logo-aw-4.png	(from https://nuss.uxper.co/boutique-hotel/about-us/)
12:23:02	5297/5297	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2017:51:39%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/logo-aw-5.png	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/logo-aw-5.png	(from https://nuss.uxper.co/boutique-hotel/about-us/)
12:23:03	1801/1801	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20May%202024%2010:02:22%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.min.js	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.min.js	(from https://nuss.uxper.co/boutique-hotel/about-us/)
